Title,ReleaseDate,Popularity,Budget,Revenue,Director,Genre,IMDBRating,IMDBVotes,BoxOfice,Production
Honey I Blew Up the Kid,'16/07/1992',3.693572,40000000.0,58662452.0,Randal Kleiser,"Adventure, Comedy, Family",4.7,"34,167",N/A,N/A
Ratko: The Dictator's Son,'01/06/2009',0.130217,0.0,0.0,"Savage Steve Holland, Kevin Speckmaier","Comedy, Thriller",3.8,393,N/A,Virgil Films
From a Whisper,'09/10/2009',0.009698,0.0,0.0,Wanuri Kahiu,Drama,5.6,18,N/A,N/A
Bears,'17/04/2014',1.183014,0.0,0.0,"Alastair Fothergill, Keith Scholey, Adam Chapman(co-director)",Documentary,7.4,"5,513","$17,769,442",Walt Disney Pictures
Prelude to Eden,'01/01/1995',0.026553,0.0,0.0,Michel Gagné,"Animation, Short",6.4,36,N/A,N/A
Bass on Titles,'31/12/1977',3.6e-05,0.0,0.0,N/A,"Documentary, Short",6.9,46,N/A,N/A
Volcanoes of the Deep Sea,'14/09/2003',0.582101,0.0,0.0,Stephen Low,"Short, Documentary",7.0,286,N/A,Stephen Low Distribution
Hevisaurus-elokuva,'27/11/2015',0.04875,0.0,0.0,Pekka Karjalainen,"Family, Fantasy, Music",5.4,15,N/A,N/A
Popp und Mingel,'09/07/1975',0.0,0.0,0.0,Ula Stöckl,Drama,N/A,N/A,N/A,N/A
Hum Do Anjaane,'01/01/2011',0.025896,0.0,0.0,Milind Swamy,"Action, Crime, Drama",3.8,12,N/A,N/A
Matalo!,'21/01/2005',0.00375,0.0,0.0,Jean-Stéphane Sauvaire,Short,N/A,N/A,N/A,N/A
Big Time Paranoia,'05/11/2007',0.005625,0.0,0.0,N/A,Comedy,7.0,27,N/A,N/A
Before I Self Destruct,'16/11/2009',0.588975,0.0,0.0,50 Cent,"Action, Crime, Drama",4.9,"1,560",N/A,N/A
Burden,'16/04/2016',0.118906,0.0,0.0,"Richard Dewey, Timothy Marrinan","Documentary, Biography",6.4,80,"$18,001",Magnolia Pictures
Hook,'11/12/1991',4.147069,70000000.0,300854823.0,Steven Spielberg,"Adventure, Comedy, Family",6.7,"195,020",N/A,TriStar Pictures
The Wolverine,'23/07/2013',1.840134,120000000.0,415440673.0,James Mangold,"Action, Adventure, Sci-Fi",6.7,"362,900","$132,550,960",20th Century Fox
Prince Philip: The Plot to Make a King,'16/04/2016',0.062146,0.0,0.0,N/A,Documentary,N/A,N/A,N/A,N/A
Top Banana,'22/02/1954',0.002955,0.0,0.0,"Alfred E. Green, Albert Zugsmith","Comedy, Musical, Romance",5.7,218,N/A,United Artists
Sleeping Dogs,'05/10/2013',0.020625,0.0,0.0,Floris Ramaekers,Thriller,8.0,41,N/A,N/A
Bread and Dripping,'01/01/1982',0.0,0.0,0.0,"Wendy Brady, Donna Foster, Margot Nash, Elizabeth Schaffer, Vic Smith",Short,N/A,N/A,N/A,N/A
Deutschstunde,'24/01/1971',2.3e-05,0.0,0.0,Peter Beauvais,"Drama, War",8.1,27,N/A,N/A
Tank Patrol,'16/06/1941',0.001876,0.0,0.0,John Eldridge,"Short, War",N/A,N/A,N/A,N/A
Nuclear Family,'15/10/2012',0.305327,0.0,0.0,Kyle Rankin,Sci-Fi,5.2,307,N/A,N/A
Love Thy Neighbor And His Wife,'25/11/1970',0.25,0.0,0.0,"Byron Mabe, Lee Raymond",N/A,N/A,N/A,N/A,N/A
