Title,ReleaseDate,Popularity,Budget,Revenue,Director,Genre,IMDBRating,IMDBVotes,BoxOfice,Production
New York Cop,'14/08/1993',0.35,0.0,0.0,Tôru Murakawa,"Action, Crime, Drama",4.2,164,N/A,N/A
La lengua asesina,'01/01/1996',0.436719,4000000.0,0.0,Alberto Sciamma,"Comedy, Sci-Fi, Horror",4.7,935,N/A,LolaFilms
Cayo,'14/09/2005',0.00905,0.0,0.0,Vicente Juarbe,Drama,6.1,122,N/A,Producciones Paractuar
Les hommes du feu,'05/07/2017',1.146537,0.0,0.0,Pierre Jolivet,Drama,N/A,N/A,N/A,N/A
Rail,'01/01/1967',0.002824,0.0,0.0,Geoffrey Jones,"Documentary, Short",7.5,39,N/A,N/A
Ko,'22/04/2011',0.041985,0.0,0.0,Anand K.V.,"Action, Thriller",7.8,"4,074",N/A,N/A
El escapulario,'18/01/1968',0.005369,0.0,0.0,Servando González,"Crime, Drama, Fantasy",6.8,116,N/A,N/A
Schicksal einer Oper,'30/06/1958',0.001876,0.0,0.0,"Bernhard Dörries, Edgar Reitz","Documentary, Short",5.5,13,N/A,N/A
Rock-a-Bye Gator,'08/01/1962',0.00318,0.0,0.0,Jack Hannah,"Animation, Family, Short",5.7,35,N/A,N/A
The Thread of Destiny,'07/03/1910',0.002343,0.0,0.0,D.W. Griffith,"Romance, Short",N/A,N/A,N/A,N/A
Paragraph 175,'22/01/2000',0.151523,0.0,0.0,"Rob Epstein, Jeffrey Friedman","Documentary, History, Romance",7.9,"1,645",N/A,Telling Pictures
Stunt Pilot,'30/06/1939',0.002604,0.0,0.0,George Waggner,Adventure,5.6,17,N/A,Monogram
Picking Peaches,'02/02/1924',0.387887,0.0,0.0,Erle C. Kenton,"Comedy, Short",6.4,100,N/A,Mack Sennett Comedies
Elektra,'01/08/2010',0.01452,0.0,0.0,Shyamaprasad,N/A,6.8,21,N/A,N/A
Un Mundo Secreto,'18/10/2012',0.015311,0.0,0.0,Gabriel Mariño,N/A,5.9,94,N/A,N/A
Tomorrow,'01/10/2015',0.400908,0.0,0.0,"Cyril Dion, Mélanie Laurent",Documentary,8.1,"2,122",N/A,N/A
Paradise For Buster,'31/05/1952',0.002824,0.0,0.0,Del Lord,"Short, Comedy",6.7,21,N/A,N/A
Tranquille donne di campagna,'24/03/1980',2.840799,0.0,0.0,Claudio Giorgi,Drama,5.9,40,N/A,N/A
Cena para dos,'24/07/2015',0.039375,0.0,0.0,Wilfred Miranda,"Short, Horror",N/A,N/A,N/A,N/A
The Great Debaters,'27/12/2007',4.977651,15000000.0,30226144.0,Denzel Washington,"Biography, Drama, Romance",7.6,"50,104",N/A,N/A
Safe Harbour,'30/10/2007',0.109326,2500000.0,0.0,Bill Corcoran,"Drama, Romance",5.5,400,N/A,WARNER BROTHERS PICTURES
Kitaj v ogne (Ruki proch' ot Kitaya!),'14/06/1925',0.001875,0.0,0.0,"Nikolai Khodataev, Zenon Komissarenko, Youry Merkulov","Animation, Short",6.1,19,N/A,N/A
Assault of the Party Nerds 2,'09/05/1995',0.026762,0.0,0.0,Richard Gabai,Comedy,2.8,131,N/A,Check Entertainment
Monidlo,'13/03/1970',0.00018,0.0,0.0,Antoni Krauze,"Short, Comedy",7.1,37,N/A,N/A
Dawn of the Crescent Moon,'05/04/2014',0.242654,0.0,0.0,Kirk Loudon,"Drama, Sci-Fi, Thriller",5.1,40,N/A,Indican Pictures
Showgirls,'22/09/1995',2.59667,45000000.0,20350754.0,Paul Verhoeven,Drama,4.6,"52,951",N/A,MGM Home Entertainment
New York City Serenade,'13/09/2007',0.154809,0.0,0.0,Frank Whaley,"Comedy, Drama",5.2,435,N/A,Anchor Bay Entertainment
Screamplay,'01/11/1985',1e-06,0.0,0.0,Rufus Butler Seder,"Comedy, Horror, Mystery",6.5,216,N/A,N/A
Erroll Garner: No One Can Hear You Read,'NaT',0.0,0.0,0.0,Atticus Brady,Documentary,7.4,18,N/A,First Run Features
Envy,'10/11/2009',0.009375,0.0,0.0,Zeki Demirkubuz,Drama,6.7,"1,783",N/A,N/A
A Charlie Brown Celebration,'24/05/1982',0.00324,0.0,0.0,Bill Melendez,"Animation, Comedy, Family",7.3,196,N/A,N/A
Django Lives!,'NaT',2e-06,0.0,0.0,N/A,"Action, Crime, Drama",N/A,N/A,N/A,N/A
Fatal Pursuit,'01/02/1995',0.266498,0.0,0.0,Eric Louzil,"Crime, Drama, Thriller",3.1,131,N/A,Hod Film Productions
My Future Baby,'NaT',1.4e-05,0.0,0.0,Brigitte Mueller,Documentary,N/A,N/A,N/A,Stand Releasing
Port of Lost Dreams,'14/10/1934',0.145566,0.0,0.0,Frank R. Strayer,"Crime, Romance, Drama",6.1,32,N/A,N/A
Bug Carnival,'15/04/1937',0.010254,0.0,0.0,"Mannie Davis, George Gordon","Animation, Short",N/A,N/A,N/A,N/A
The Adventures of Supernigger: Episode I - The Final Chapter,'01/01/2004',0.028565,14000.0,0.0,Alrick Brown,"Short, Comedy, Drama",7.3,15,N/A,N/A
Ye,'01/11/1938',nan,0.0,0.0,Man-Ching Kwan,Drama,N/A,N/A,N/A,N/A
Ocharovatelnye prisheltsy,'01/01/1991',0.03,0.0,0.0,Nikolay Fomin,Sci-Fi,4.4,7,N/A,N/A
Taxi,'21/01/1953',0.282078,0.0,0.0,Gregory Ratoff,"Drama, Romance",7.8,17,N/A,N/A
A Close Call for Ellery Queen,'27/01/1942',0.005193,0.0,0.0,James P. Hogan,"Adventure, Crime, Mystery",5.8,49,N/A,N/A
Consent,'11/03/2017',0.205567,0.0,0.0,N/A,Adult,N/A,N/A,N/A,N/A
The Return of Optimus Prime,'17/11/1987',0.013372,0.0,0.0,"Andy Kim, Ray Lee","Animation, Action, Sci-Fi",8.3,361,N/A,N/A
Les Lionceaux,'27/04/1960',0.126088,0.0,0.0,Jacques Bourdon,Drama,N/A,N/A,N/A,N/A
The War,'30/11/2012',0.166959,0.0,0.0,Jim Morlino,"Drama, Family, War",6.3,16,N/A,N/A
She Wronged Him Right,'05/01/1934',0.004302,0.0,0.0,Dave Fleischer,"Animation, Short, Comedy",6.6,108,N/A,N/A
Amusement Park,'12/07/2018',0.433884,0.0,0.0,Dylan Brown,"Animation, Adventure, Comedy",N/A,N/A,N/A,Paramount Animation
No Place Like Home,'03/12/1989',0.402057,0.0,0.0,Lee Grant,Drama,6.8,240,N/A,N/A
Blood and Steel,'04/12/1959',0.043083,0.0,0.0,Bernard L. Kowalski,"Drama, War",3.8,56,N/A,Twentieth Century Fox
Progress Island U.S.A.,'01/01/1973',1.8e-05,0.0,0.0,Jorge Delgado,Short,2.0,128,N/A,N/A
Rowdy Ranganna,'01/01/1968',0.006323,0.0,0.0,R. Ramamurthy,N/A,8.0,6,N/A,N/A
Beer,'30/08/1985',0.146171,0.0,0.0,Patrick Kelly,Comedy,5.1,552,N/A,HBO Video
Snapping the Whip,'19/01/1929',0.028915,0.0,0.0,"Frank Moser, Paul Terry","Animation, Short, Comedy",4.0,7,N/A,N/A
Harold Teen,'28/04/1928',0.002998,0.0,0.0,Mervyn LeRoy,Comedy,8.3,6,N/A,N/A
Projections of America,'23/09/2014',0.028146,0.0,0.0,Peter Miller,"Documentary, Biography, History",8.0,14,N/A,docdays productions
Coffy,'13/06/1973',1.463405,500000.0,0.0,Jack Hill,"Action, Crime, Thriller",6.9,"7,502",N/A,MGM
Sound Test for Blackmail,'01/01/1929',0.007905,0.0,0.0,Alfred Hitchcock,"Short, Documentary",7.3,390,N/A,N/A
Aus unserer Zeit,'15/01/1970',0.000216,0.0,0.0,"Joachim Kunert, Kurt Maetzig, Helmut Nitzschke, Rainer Simon","Drama, Romance, War",8.4,7,N/A,N/A
Vecinos,'01/07/1981',0.008605,0.0,0.0,Alberto Bermejo,N/A,4.1,11,N/A,N/A
Billy Connolly - Live at the Odeon Hammersmith London,'30/12/1991',0.172679,0.0,0.0,Nobby Clark,"Documentary, Comedy",8.2,140,N/A,N/A
Westlife: Live in Stockholm The Turnaround Tour,'NaT',8e-06,0.0,0.0,Julia Knowles,Music,8.6,20,N/A,N/A
Curse of the Shaolin,'01/01/2010',0.009375,0.0,0.0,Sven Kamm,"Documentary, Action, Biography",8.0,74,N/A,N/A
Scathed,'01/01/1995',0.003102,0.0,0.0,David Gregory,N/A,7.4,8,N/A,N/A
Pegasus Vs. Chimera,'15/09/2012',0.361808,0.0,0.0,John Bradshaw,"Fantasy, Horror, Sci-Fi",2.7,446,N/A,Sony Pictures Entertainment
Alguma Coisa Assim,'14/09/2006',0.005625,0.0,0.0,Esmir Filho,Short,6.1,22,N/A,N/A
Vier Drillinge sind einer zu viel,'07/02/2014',0.180563,0.0,0.0,Matthias Kiefersauer,Comedy,6.4,8,N/A,N/A
Endless corridor,'07/06/2014',0.026969,0.0,0.0,"Aleksandras Brokas, Mindaugas Urbonavicius","Documentary, Drama, History",N/A,N/A,N/A,N/A
Jerry Sadowitz - Total Abuse Show,'05/04/1988',0.25,0.0,0.0,Ken O'Neill,Comedy,N/A,N/A,N/A,N/A
Skeleton Key 3: The Organ Trail,'08/11/2011',0.016992,5000.0,0.0,John Johnson,"Adventure, Comedy, Horror",4.3,41,N/A,N/A
Urgia,'01/01/1977',0.01215,0.0,0.0,"Andrei Blaier, Iosif Demian",Drama,7.1,8,N/A,N/A
Khon Jorn,'02/01/1999',0.005358,0.0,0.0,Attaporn Thihirun,Drama,N/A,N/A,N/A,N/A
Tetsuo: The Bullet Man,'05/09/2009',0.041246,0.0,0.0,Shin'ya Tsukamoto,"Action, Horror, Sci-Fi",5.7,"1,353",N/A,IFC
Rustom Sohrab,'NaT',0.0,0.0,0.0,Vishram Bedekar,"Drama, Action, Adventure",6.8,17,N/A,N/A
El silencio es bienvenido,'15/03/2017',0.290537,0.0,0.0,Gabriela García Rivas,Drama,N/A,N/A,N/A,N/A
Transpapa,'19/01/2012',0.228374,0.0,0.0,Sarah-Judith Mettke,Drama,6.7,110,N/A,N/A
Quest for Love,'06/06/1971',0.393322,0.0,0.0,Ralph Thomas,"Drama, Mystery, Romance",6.7,397,N/A,N/A
Children of Lir,'10/09/2016',0.138703,0.0,0.0,Katherin McInnis,"Documentary, Animation, Short",N/A,N/A,N/A,N/A
Unholy Matrimony,'03/10/1988',4e-05,0.0,0.0,Jerrold Freedman,"Action, Drama, Thriller",6.1,47,N/A,Edgar J. Scherick Associates
Love and Duty,'21/09/1916',0.00434,0.0,0.0,"Will Louis, Arthur Hotaling","Short, Comedy",4.8,11,N/A,N/A
You Can't Do That! The Making of 'A Hard Day's Night','01/01/1995',0.267677,0.0,0.0,N/A,"Documentary, Music",7.8,122,N/A,MPI Home Video
Die Bullenbraut 2 - Der Tod hat 17 Karat,'04/05/2006',0.045337,0.0,0.0,Ulli Baumann,"Comedy, Crime",2.2,13,N/A,N/A
Shades of Ray,'18/10/2008',0.052833,0.0,0.0,Jaffar Mahmood,"Comedy, Drama, Romance",7.2,"1,193",N/A,FilmBuff
Interview With A Time Traveler,'02/07/2014',0.295824,0.0,0.0,Ashley Cooper,"Short, Sci-Fi",6.6,36,N/A,N/A
Devathayai Kanden,'04/11/2004',0.11363,0.0,0.0,Boopathy Pandian,Drama,3.9,119,N/A,N/A
Kaunis Veera eli ballaadi Saimaalta,'22/09/1950',0.001877,0.0,0.0,Ville Salminen,"Comedy, Musical",5.9,106,N/A,N/A
La Guera Mendoza,'01/01/2005',0.00375,0.0,0.0,Tina Teóyotl,Action,N/A,N/A,N/A,N/A
Nulevoy Kilometr,'25/10/2007',0.04233,0.0,0.0,Pavel Sanaev,"Action, Crime, Romance",6.2,242,N/A,N/A
Dehors novembre,'18/09/2005',0.00375,0.0,0.0,Patrick Bouchard,"Animation, Short",7.8,37,N/A,N/A
Pecadora,'20/11/1947',0.006332,0.0,0.0,José Díaz Morales,"Crime, Drama",7.0,6,N/A,N/A
Partners,'22/01/2016',0.119294,0.0,0.0,Jesse H. Knight,Drama,8.5,42,N/A,N/A
Spiders Trap,'13/09/2015',0.064725,0.0,0.0,Alan Walsh,"Action, Drama, Thriller",5.8,11,N/A,N/A
Hop - a je tu lidoop,'01/02/1978',0.0,0.0,0.0,Milan Muchna,"Comedy, Fantasy",5.2,55,N/A,N/A
That's Adequate,'01/01/1989',0.519524,0.0,0.0,Harry Hurwitz,Comedy,5.1,168,N/A,Hemdale Home Video
The Head of a Pin,'09/06/2004',0.003765,0.0,0.0,Su Friedrich,Short,4.4,7,N/A,N/A
Pasajes,'15/03/1996',0.028502,0.0,0.0,Daniel Calparsoro,N/A,5.0,54,N/A,N/A
The Human Factor,'01/05/2013',0.01725,0.0,0.0,Bruno Oliviero,Crime,5.0,207,N/A,N/A
Bogus,'06/09/1996',0.899006,32000000.0,0.0,Norman Jewison,"Comedy, Family, Fantasy",5.3,"5,379",N/A,Warner Home Video
Disney Princess Stories Volume One: A Gift from the Heart,'01/06/2004',0.004128,0.0,0.0,Benjamin Zev,"Animation, Family",5.7,21,N/A,N/A
Ho vinto la lotteria di Capodanno,'06/06/1989',0.005754,0.0,0.0,Neri Parenti,Comedy,5.8,478,N/A,N/A
Freaky Chakra,'07/02/2003',0.005646,0.0,0.0,"V.K. Prakash, Ziba Bhagwagar","Comedy, Drama",5.4,68,N/A,Channel Nine Entertainment Ltd
49:5ive,'30/04/2016',0.083816,1000.0,0.0,"Christopher Haskell, Matthew Haskell","Short, Drama, Thriller",N/A,N/A,N/A,N/A
The Story of the Other Wise Man,'01/01/1989',4.5e-05,0.0,0.0,Walbercy Ribas Camargo,"Animation, Short, Adventure",5.8,9,N/A,N/A
A Day in the Life of Bear Grylls,'NaT',0.00084,0.0,0.0,N/A,Documentary,7.7,11,N/A,N/A
Death Tunnel,'17/10/2005',0.497864,1500000.0,0.0,Philip Adrian Booth,Horror,2.7,"4,683",N/A,Sony Pictures Home Entertainment
Jue zhan zhi hou,'01/01/1991',0.0,0.0,0.0,"Qiankuan Li, Guiyun Xiao","Drama, War",7.4,9,N/A,N/A
Double Strength,'01/01/1978',2e-05,0.0,0.0,Barbara Hammer,"Documentary, Short",6.4,18,N/A,N/A
Complicated,'NaT',0.00012,0.0,0.0,Sophia Pino,"Short, Comedy",N/A,N/A,N/A,N/A
My Little Pony: Equestria Girls - Legend of Everfree,'01/10/2016',0.723207,0.0,0.0,Ishi Rudell,"Animation, Comedy, Family",6.7,493,N/A,DHX Media
Treasure: From Tragedy to Trans Justice Mapping a Detroit Story,'13/06/2015',0.301454,0.0,0.0,Dream Hampton,"Documentary, Crime, Drama",N/A,N/A,N/A,N/A
The Magnificent Tati,'17/07/2009',0.009373,0.0,0.0,Michael House,Documentary,6.0,96,N/A,N/A
Transylvania Twist,'01/10/1989',0.000279,0.0,0.0,Jim Wynorski,"Comedy, Fantasy",5.4,389,N/A,MGM Home Entertainment
Die Schlacht um Miggershausen,'24/01/1937',0.001875,0.0,0.0,Georg Woelz,"Animation, Short",5.6,13,N/A,N/A
Blood Money,'22/03/1983',0.001215,0.0,0.0,Shu Tong Wong,Drama,7.2,10,N/A,N/A
The Tall Target,'17/08/1951',0.117457,0.0,0.0,Anthony Mann,"Adventure, Crime, Drama",7.3,"1,175",N/A,Warner Bros.
Babar: King of the Elephants,'28/04/1999',0.042447,0.0,0.0,Raymond Jafelice,"Family, Animation",6.1,368,N/A,HBO Video
Project X,'18/11/2016',0.387999,0.0,0.0,"Henrik Moltke, Laura Poitras","Documentary, Short",6.9,39,N/A,N/A
Die Supernasen,'08/09/1983',0.134229,0.0,0.0,Dieter Pröttel,Comedy,4.4,775,N/A,N/A
Fix,'13/05/2014',0.030466,0.0,0.0,Colton Moyer,"Short, Crime, Drama",N/A,N/A,N/A,N/A
Assassinat de Kleber,'NaT',0.002824,0.0,0.0,Georges Hatot,"Short, Drama",5.2,43,N/A,N/A
JoJo's Bizarre Adventure: Phantom Blood,'17/02/2007',0.02102,0.0,0.0,Jun'ichi Yamamoto,"Animation, Action, Adventure",8.7,11,N/A,N/A
The Nothing,'14/04/2011',0.016889,0.0,0.0,Joshua Childs,"Drama, Mystery",8.0,25,N/A,N/A
Quick,'30/08/1993',0.321861,0.0,0.0,Rick King,"Action, Crime",5.7,314,N/A,Promark Entertainment
Uncontrollable,'01/10/2012',0.025826,0.0,0.0,Eugene Garcia,Drama,N/A,N/A,N/A,N/A
Felix All Balled Up,'01/07/1924',0.001875,0.0,0.0,Otto Messmer,"Animation, Short, Comedy",5.1,17,N/A,N/A
The Massacre,'25/02/1912',0.533365,0.0,0.0,D.W. Griffith,"Short, Action, War",6.6,197,N/A,N/A
Red Canyon,'01/01/2008',0.547519,1500000.0,0.0,Giovanni Rodriguez,"Action, Horror, Thriller",3.8,655,N/A,Boot Girl Production
Dental Follies,'26/02/1937',0.00506,0.0,0.0,William Watson,"Short, Comedy",4.7,9,N/A,N/A
Lootmaar,'10/04/1980',0.003,0.0,0.0,Dev Anand,"Action, Thriller",6.0,44,N/A,N/A
Lady Luck,'13/09/1936',0.409489,0.0,0.0,Charles Lamont,"Comedy, Crime, Drama",6.6,13,N/A,Chesterfield Pictures Corporation
Roswell: The Aliens Attack,'04/02/1999',0.040338,0.0,0.0,Brad Turner,"Drama, Mystery, Sci-Fi",4.2,270,N/A,Credo Entertainment Group
Aradhana,'27/09/1969',0.016138,0.0,0.0,Shakti Samanta,"Drama, Musical, Romance",7.7,"1,210",N/A,Ultra Distributors
Rihanna - Good Girl Gone Bad: Live,'13/06/2008',0.342449,0.0,0.0,Paul Caslin,"Documentary, Music",7.6,68,N/A,N/A
Exit,'10/10/2005',0.005626,0.0,0.0,Jamie Duneier,"Drama, Short",7.9,18,N/A,N/A
Essex Boys: Law of Survival,'21/09/2015',0.237234,0.0,0.0,Steven M. Smith,"Action, Crime, Drama",5.2,888,N/A,N/A
To New Horizons,'04/08/1940',0.001875,0.0,0.0,N/A,Short,5.4,20,N/A,N/A
Loos Ornamental,'25/05/2008',0.058064,0.0,0.0,Heinz Emigholz,Documentary,7.2,33,N/A,N/A
Do Outro Lado do Rio,'28/09/2004',0.00375,0.0,0.0,Lucas Bambozzi,Documentary,N/A,N/A,N/A,N/A
Bilbao,'06/07/1978',0.170267,0.0,0.0,Bigas Luna,"Drama, Thriller",6.4,386,N/A,N/A
Soldier In The Rain,'27/11/1963',0.241554,0.0,0.0,Ralph Nelson,"Comedy, Drama, Romance",7.0,"1,225",N/A,Warner Bros.
The Chain,'30/10/1996',0.049685,0.0,0.0,Luca Bercovici,"Action, Drama, Thriller",4.4,150,N/A,N/A
Escape Velocity,'28/11/1999',0.016401,0.0,0.0,Lloyd A. Simandl,"Action, Sci-Fi",3.6,289,N/A,York
A Christmas Carol,'23/12/1910',0.004601,0.0,0.0,"J. Searle Dawley, Charles Kent, Ashley Miller","Short, Drama, Fantasy",6.0,399,N/A,N/A
Carne: The Taco Maker,'10/07/2013',0.028561,0.0,0.0,Rene Rodriguez,History,3.7,30,N/A,N/A
Konspiration 58,'28/05/2002',0.004146,20000.0,0.0,Johan Löfstedt,"Short, Comedy, Drama",6.4,151,N/A,N/A
Precious Images,'31/12/1986',0.001367,0.0,0.0,Chuck Workman,"Documentary, Short",7.7,503,N/A,N/A
Festa,'08/08/2016',0.185598,0.0,0.0,Franco Piavoli,Short,N/A,N/A,N/A,N/A
Every Child,'01/01/1979',4e-05,0.0,0.0,Eugene Fedorenko,"Family, Comedy, Animation",6.6,520,N/A,N/A
Ein Hochzeitsfest,'01/02/1977',8e-05,0.0,0.0,Karl Fruchtmann,N/A,N/A,N/A,N/A,N/A
Tomio,'02/09/2011',0.011253,0.0,0.0,Junji Ito,Horror,7.9,30,N/A,N/A
St. Ives,'01/01/1998',0.156911,0.0,0.0,Harry Hook,"Drama, Romance",6.6,656,N/A,Little Bird Films
Ayn Rand & the Prophecy of Atlas Shrugged,'01/11/2011',0.021331,0.0,0.0,Chris Mortensen,Documentary,5.9,381,N/A,D&E Entertainment
Nursie,'23/02/2004',0.410859,0.0,0.0,Joe C. Maxwell,"Horror, Thriller",6.4,547,N/A,N/A
Dirty Mind,'28/01/2009',0.068844,0.0,0.0,Pieter Van Hees,"Action, Comedy",6.7,693,N/A,N/A
The Mighty Celt,'11/02/2005',0.317998,0.0,0.0,Pearse Elliott,Drama,6.9,681,N/A,Treasure Entertainment
Dream #7,'15/09/2010',0.022963,0.0,0.0,Ki-duk Kim,"Drama, Fantasy, Mystery",6.6,"3,091",N/A,Asian Crush
The Music of David Lynch Benefit Concert,'NaT',0.027815,0.0,0.0,Devin Dehaven,Music,N/A,N/A,N/A,N/A
Jargo,'01/01/2004',0.009523,0.0,0.0,Maria Solrun,"Crime, Drama",6.3,183,N/A,Picture This Home Video
The Great Bank Robbery,'10/09/1969',0.060585,0.0,0.0,Hy Averback,"Comedy, Western",5.6,389,N/A,N/A
Domino,'01/01/1973',0.00012,0.0,0.0,Igor Negrescu,Family,N/A,N/A,N/A,N/A
Hidden Blessings,'07/04/2000',0.006043,0.0,0.0,Timothy Wayne Folsome,"Drama, Romance",7.0,35,N/A,BET Arabesque Films
Machetero,'03/06/2008',0.028779,0.0,0.0,vagabond Beaumont,"Crime, Drama, News",7.5,31,N/A,N/A
La pioggia che non cade,'19/06/2014',0.125045,0.0,0.0,Marco Calvise,Comedy,N/A,N/A,N/A,N/A
Packard: The Last Shift,'01/03/2014',0.050616,0.0,0.0,Brian Kaufman,"Documentary, History, News",N/A,N/A,N/A,N/A
Vulcan Bomber: Return to the Skies,'15/06/2007',0.023506,0.0,0.0,Rob Hallam,Documentary,N/A,N/A,N/A,N/A
Elf Workout!,'22/05/2012',0.015012,0.0,0.0,Courtney Fathom Sell,Short,N/A,N/A,N/A,N/A
History of Christian Worship: Part ,'09/02/2010',nan,0.0,0.0,Tom Dallis,Documentary,N/A,N/A,N/A,N/A
The Best of Friends,'01/01/1991',0.284916,0.0,0.0,Alvin Rakoff,Biography,8.1,90,N/A,N/A
Aziz Ansari: Buried Alive,'01/11/2013',0.31405,0.0,0.0,"Will Lovelace, Dylan Southern",Comedy,7.3,"2,661",N/A,N/A
Donya,'01/01/2003',0.00375,0.0,0.0,Manuchehr Mosayyeri,Comedy,5.7,371,N/A,N/A
The Patent Clerk,'NaT',1.9e-05,0.0,0.0,Collier Goode,"Short, Drama",N/A,N/A,N/A,N/A
Connected,'03/09/2009',0.008266,0.0,0.0,"Jens Raunkjær Christensen, Jonas Drotner Mouritsen","Short, Sci-Fi",6.2,180,N/A,N/A
A Gun in His Hand,'15/09/1945',0.003632,0.0,0.0,Joseph Losey,"Drama, Crime, Short",6.6,129,N/A,N/A
Two Tars,'03/11/1928',0.004137,0.0,0.0,James Parrott,"Comedy, Short",7.4,"1,034",N/A,N/A
Tebana Sankichi: Snot Rocket & Super Detective,'02/01/2005',0.003754,0.0,0.0,Yudai Yamaguchi,Comedy,N/A,N/A,N/A,N/A
Pride 26: Bad To The Bone,'08/06/2003',0.077232,0.0,0.0,N/A,Sport,N/A,N/A,N/A,N/A
The Contract,'29/05/1999',0.047223,0.0,0.0,Steven R. Monroe,Thriller,4.7,207,N/A,N/A
Anuranan,'28/11/2006',0.005636,0.0,0.0,Aniruddha Roy Chowdhury,"Drama, Romance",6.7,239,N/A,N/A
Pavitra Prema,'NaT',0.0,0.0,0.0,A.V. Seshagiri Rao,N/A,N/A,N/A,N/A,N/A
Friendly Neighbors,'17/11/1940',0.00251,0.0,0.0,Nick Grinde,Comedy,6.8,12,N/A,N/A
Friendship's Death,'17/08/1987',0.586682,0.0,0.0,Peter Wollen,"Drama, Sci-Fi",6.9,99,N/A,Channel 4
Hauptsache konsequent,'22/10/1983',0.25,0.0,0.0,Dagmar Damek,Comedy,N/A,N/A,N/A,N/A
Peter Cook & Co.,'14/11/1980',3.2e-05,0.0,0.0,Paul Smith,Comedy,8.2,44,N/A,N/A
Zoo,'17/06/2006',0.005636,0.0,0.0,Salla Tykkä,"Short, Drama",N/A,N/A,N/A,N/A
Solo,'25/11/2011',0.029547,0.0,0.0,Parasuram,Drama,6.6,197,N/A,N/A
The Sinking of Sozopol,'01/01/2014',0.0225,0.0,0.0,Kostadin Bonev,"Drama, Mystery",6.5,108,N/A,N/A
Heaven's Gate: The Definitive Story,'01/01/2007',0.005625,0.0,0.0,Len Schneiderman,Documentary,N/A,N/A,N/A,N/A
Interview with the Vampire,'11/11/1994',4.05854,60000000.0,223664608.0,Neil Jordan,"Drama, Horror",7.6,"253,212",N/A,Warner Home Video
Teddy Bears' Picnic,'29/03/2002',0.287735,0.0,28149.0,Harry Shearer,Comedy,3.3,359,N/A,Visionbox Media
The Girl Most Likely,'05/02/1958',0.005504,0.0,0.0,Mitchell Leisen,"Comedy, Musical",6.0,220,N/A,Universal Pictures
Dream Slashers,'31/07/2007',0.005744,0.0,0.0,Philippe Ney,Horror,4.6,68,N/A,N/A
Dark circus,'NaT',0.0,0.0,0.0,Julia Ostertag,Fantasy,N/A,N/A,N/A,N/A
Lo sbarco nelle terre redente,'22/12/1918',0.001875,0.0,0.0,N/A,Short,N/A,N/A,N/A,N/A
Under The Apple Tree,'01/09/2015',0.045609,0.0,0.0,Erik van Schaaik,"Animation, Short, Comedy",8.0,10,N/A,N/A
Turis Romantis,'23/04/2015',0.080358,0.0,0.0,Senoaji Julius,Romance,9.0,19,N/A,N/A
When The Bough Breaks,'19/11/1947',0.040487,0.0,0.0,Lawrence Huntington,Drama,6.5,54,N/A,N/A
Deadly Addiction,'01/01/1988',4.8e-05,0.0,0.0,Jack Vacek,Action,5.4,28,N/A,N/A
When the Drum Is Beating,'22/04/2011',0.016908,0.0,0.0,Whitney Dow,"Documentary, Music",7.8,12,N/A,N/A
Don't Hug Me I'm Scared 4,'31/03/2015',0.07694,0.0,0.0,"Joseph Pelling, Becky Sloan","Animation, Short, Fantasy",7.9,145,N/A,N/A
Shameless,'01/01/1996',0.004665,0.0,0.0,Bob Byington,N/A,5.6,21,N/A,N/A
Siblings,'14/09/2004',0.302517,500000.0,0.0,David Weaver,Comedy,6.7,606,N/A,Canadian Film Centre
The Disco Exorcist,'14/10/2011',0.066176,20.0,0.0,Richard Griffin,"Comedy, Horror",4.2,199,N/A,N/A
Ida,'25/10/2013',3.732911,2159280.0,10700000.0,Pawel Pawlikowski,Drama,7.4,"39,718",N/A,Music Box Films
Alien Abduction,'02/03/2005',0.147078,600000.0,0.0,Eric Forsberg,"Horror, Sci-Fi, Thriller",2.6,"1,149",N/A,N/A
El aviso inoportuno,'17/05/1969',0.00285,0.0,0.0,Rafael Baledón,"Adventure, Comedy, Drama",7.2,38,N/A,N/A
25 Hill,'01/01/2011',0.069155,1000000.0,0.0,Corbin Bernsen,Drama,6.2,165,N/A,Team Cherokee Productions
Danske piger viser alt,'01/01/1996',0.005367,0.0,0.0,"David Blair, Susanna Edwards, Franz Ernst, Marc Hawker, Gusztáv Hámos, Mani Kaul, Dusan Makavejev, Steen Møller Rasmussen, Lars Norgard, Ane Mette Ruge, Jacob F. Schokking, Morten Skallerud, Monika Treut, Vibeke Vogel, Anne Wivel, Yuan Zhang, Jaime Humberto Hermosillo, Mika Kaurismäki",Drama,6.2,55,N/A,N/A
Petit manuel d'histoire de France,'21/09/1979',0.0,0.0,0.0,Raoul Ruiz,Documentary,5.6,5,N/A,N/A
Killer Hoo-Ha!,'01/06/2010',0.017222,100000.0,0.0,Sean Pomper,Horror,5.5,6,N/A,N/A
Samad Artist Mishavad,'NaT',0.0,0.0,0.0,Parviz Sayyad,Comedy,7.1,154,N/A,N/A
Thug Love,'01/01/2009',0.0075,0.0,0.0,Marcello Thedford,Romance,3.8,24,N/A,N/A
UFC 210: Cormier vs. Johnson 2,'08/04/2017',0.224175,0.0,0.0,N/A,Sport,5.9,25,N/A,N/A
